Дата,ID сессии,ID клиента,Доход,Оценка
2021-01-05,eeehjltlceclayhacecerhyyxhrxs,45870310,0,
2021-01-06,eeehrcecacecerlrhacecerygejeb,76545402,0,
2021-01-06,eeehalhalhjaracecerxhrhtrm,424242,0,
2021-01-06,eeehrcecacecerlrhacecerygejeb,76545402,0,
2021-01-06,eeehalhalhjaracecerxhrhtrm,424242,0,
2021-01-07,eeehrjetgcecalacecerrlknyve,702421,0,
2021-01-07,eeehrjetgcecalacecerrlknyve,702421,0,
2021-01-08,eeehlheajrjlcecacecertkyasrbr,2515442,0,
2021-01-08,eeehleececrgjcecaceceryjhmhrfk,66465,0,
2021-01-09,eeercecajrhrhcechacecerskhdmer,4613422,0,
2021-01-10,eeereeajjrjjjacecererymrhr,4251442,0,
2021-01-10,eeereehlhaheeacecerkflbtrhd,4613422,0,
2021-01-11,eeeracectyceceajaacecerahocoiyr,4313120,0,
2021-01-11,eeeraeajtaajhacecerrrmlstv,10532144,0,
2021-01-12,eeerhcecrcectheheacecerryfebnfo,426506,0,
2021-01-12,eeeralhjjlcecalacecerehsebna,44225123,0,
2021-01-12,eeerheyrrerjjacecerdjrtyoa,42434447,0,
2021-01-12,eeerhececlylhahacecerrtererhq,4613424,0,
2021-01-12,eeeraltcecehlaeacecerrmaqrmpr,251233,18816.599804000001,5
2021-01-12,eeerhcecacecgjjracecereyfrkrur,515552487,0,
2021-01-12,eeeralytyhjceclacecerdehibje,1442224,0,
2021-01-12,eeerhececaleeleacecerfretyeoi,34312315,0,
2021-01-12,eeerherglalcecacecerirhnvcecoe,15345412,0,
2021-01-12,eeeralhcecgttaaceceruvyrxrxf,1245444,0,
2021-01-12,eeeralyelerhjacecerybeacppd,5424251,0,
2021-01-12,eeeralhjcecgtjaceceriiereiir,6304153,23161.020640999999,3
2021-01-12,eeeralhrgrhaacecerapyrrrxn,444022,0,
2021-01-12,eeerallayeeehacecerbmyhmrh,3487152,0,
2021-01-12,eeerhceccectceccechjaacecerbdeefrh,424431,0,
2021-01-12,eeerhejalrjayacecerfhcecirkrv,40134404,13835.73515,3
2021-01-12,eeeraalcecjhrahacecermnahmrhs,4613422,0,
2021-01-12,eeeralhceccecacechlacecericecrrxbr,4021063,29885.187911000001,3
2021-01-12,eeeralhjjlyehacecerptrpdqtk,2343252,0,
2021-01-12,eeeralyalhtgaceceremhrrak,44151024,0,
2021-01-12,eeeralrrehlthacecerhcecydbejn,2224423,0,
2021-01-12,eeerallacechtececaceceroameryr,31444444,0,
2021-01-12,eeerhcecygatahacecermyrbbher,12420202,0,
2021-01-12,eeerhcecjhceccechcectacecertntlueb,14415344,0,
2021-01-12,eeerhcecjhaelaraceceryxxefvyq,25134424,0,
2021-01-12,eeerhcecgeejtaacecerkqsftrc,14525424,0,
2021-01-12,eeerhceclajjhjlacecerccecprhsyn,45425125,0,
2021-01-12,eeerheheeyceclcecaceceruxfdhkxo,44433043,0,
2021-01-12,eeerhceccecaatylhaceceremgrhkh,10221432,0,
2021-01-12,eeerhcecjljtryyacecerifdeyrcf,14104543,0,
2021-01-12,eeerhcechrjgrcecacecerqbydyrvh,6223442,0,
2021-01-12,eeerhceclajjhjlacecerccecprhsyn,45425125,0,
2021-01-12,eeerhetarhtteaceceryrphrhtp,4442162,7174.5822779999999,4
2021-01-13,eeerhrthejgtacecerheyrhifk,4561021,0,
2021-01-13,eeerhrrltgtracecermaoxbtph,4443245,0,
2021-01-13,eeerglhcecerlcecacecersepymyrs,14122314,0,
2021-01-13,eeergllaerrlaceceruucecqxtrt,14050242,0,
2021-01-13,eeertcecgjceclyeacecerleerhuiu,6142511,0,
2021-01-13,eeeralaljtylhacecericredqo,101225242,0,
2021-01-13,eeerhjhcecarttjacecerlrqcbcya,4564404,0,
2021-01-13,eeerhljltalcecaacecerrerrlotr,150641,0,
2021-01-13,eeerhlcecherlahaceceryhicmoey,6142511,9131.5851789999997,4
2021-01-13,eeerhltghrleacecerryhsbchr,54141055,0,
2021-01-13,eeerhalrlthejacecernrykoceh,4013641,0,
2021-01-13,eeerhjcechtalhaacecervepnuog,4013641,0,
2021-01-13,eeerhjhelhcecrcecacecerfqritae,14441440,20476.888021999999,4
2021-01-13,eeeralleeyyhtacecerptkjrrtl,3645151,0,
2021-01-13,eeerhjtcecaltytacecerreihqmbb,1433444,11754.07517,4
2021-01-13,eeerheejtcechthaceceriindlrh,14102251,0,
2021-01-13,eeerhltrayyyaaceceruhctrabf,1525442,0,
2021-01-13,eeerhjjgalyeacecertiqaeehe,42145305,0,
2021-01-13,eeergjrgrleacecercyhyrteu,42134144,0,
2021-01-13,eeerhlehrhaylacecervqhcecyhbd,233064,0,
2021-01-13,eeerhtltcechtlraceceryfvqvarf,3487363,0,
2021-01-13,eeerhjlcechreejacecerpehtiaqy,44344344,0,
2021-01-13,eeerhreatcecleyacecerryrkjyi,412134421,0,
2021-01-13,eeerhlcecyrthlhacecerfphctrr,5154401,0,
2021-01-13,eeeralhtcechtejacecerceccechvcecc,14102251,0,
2021-01-13,eeerglahcecaejacecervnjtrbil,1264150,0,
2021-01-13,eeerhryhjljthacecerqxkhbsb,3242642,0,
2021-01-13,eeerhlcecyrthlhacecerfphctrr,5154401,0,
2021-01-13,eeerhlterjalracecerkovjvsmr,8754874,8301.4410900000003,4
2021-01-13,eeertcechlahteeacecerfhtrae,43612420,0,
2021-01-13,eeertcectalalatacecerbheupcer,42442414,13282.305743999999,5
2021-01-13,eeergtlhtjttacecerenfxskrp,2514232,36113.268742,3
2021-01-13,eeerhrejacecerlacecerlfpqxqc,8751540,0,
2021-01-13,eeerhrjcecylcecyracecerhedqamch,41245214,0,
2021-01-13,eeerhrjheaahcecacecerrmcecthih,44230144,0,
2021-01-13,eeerhlaececeahtaceceruvrrncy,46136,0,
2021-01-13,eeerhlhaaceceylacecertsdefkpr,5640444,36113.268742,4
2021-01-13,eeerhtaetytyhacecerrrtbrehq,423312,0,
2021-01-13,eeeraljetyhrhacecermrrqejc,4124187,0,
2021-01-13,eeerhjtjceclhrcecaceceryhqgmro,54210342,14444.507497000001,3
2021-01-13,eeerhjjhlyalhacecerrrfbkfeh,5152424,0,
2021-01-13,eeerglhcectcechaacecerhkcecyayrx,4404632,21583.746834000001,4
2021-01-13,eeerhrlhlrtatacecersececyorn,4106020,0,
